taxonRank,kingdom,family,scientificName
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Lophodytes cucullatus x Bucephala clangula
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Mareca  americana x Mareca  penelope
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Mareca falcata x Mareca penelope
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Mareca falcata x Mareca strepera
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Mareca penelope x Anas platyrhynchos
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Mareca sibilatrix x
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Mareca strepera x Mareca penelope
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Mergellus albellus x Bucephala clangula
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Netta peposaca x Netta rufina
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Somateria mollissima x Mergus merganser
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Somateria mollissima x Somateria spectabilis
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Spatula clypeata x Mareca penelope
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Spatula clypeata x Mareca strepera
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Spatula clypeata x Spatula cyanoptera
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Spatula clypeata x Spatula discors
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Spatula cyanoptera x Spatula discors
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Spatula hottentota x Spatula versicolor
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Tadorna ferruginea x Tadorna tadorna
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Tadorna tadorna x Aix sponsa
hybrid,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Tadorna tadorna x Tadorna tadornoides
hybrid,Animalia,FINCHES_FRINGILLIDAE,Carduelis carduelis x Chloris chloris
hybrid,Animalia,FINCHES_FRINGILLIDAE,Carduelis carduelis x Serinus canaria
hybrid,Animalia,FINCHES_FRINGILLIDAE,Haemorhous mexicanus x Serinus canaria
hybrid,Animalia,FINCHES_FRINGILLIDAE,Serinus canaria x Serinus serinus
hybrid,Animalia,FLAMINGOS_PHOENICOPTERIDAE,Phoenicopterus chilensis x Phoenicopterus roseus
hybrid,Animalia,FLAMINGOS_PHOENICOPTERIDAE,Phoenicopterus roseus x Phoenicopterus ruber
hybrid,Animalia,FRANCOLINS_QUAILS_PARTRIDGES_AND_PHEASANTS_PHASIANIDAE,Chrysolophus amherstiae x Chrysolophus pictus
hybrid,Animalia,FRANCOLINS_QUAILS_PARTRIDGES_AND_PHEASANTS_PHASIANIDAE,Chrysolophus pictus x Phasianus colchicus
hybrid,Animalia,FRANCOLINS_QUAILS_PARTRIDGES_AND_PHEASANTS_PHASIANIDAE,Lyrurus tetrix x Tetrao urogallus
